address,lattitude,longitude
"1650 Webster St",37.785845,-122.430932
"1391 Sutter St",37.787122,-122.422901
"200 13th St",37.77007,-122.417702
"2927 Larkin St",37.804892,-122.421925
"425 Divisadero St",37.773319,-122.43759
"680 Stanyan St",37.769407,-122.453164
"3865 24th St",37.751362,-122.428709
"560 Mission St",37.788878,-122.398813
"2310 Powell St",37.80598,-122.411539
"423 Beach St",37.806968,-122.415846
"1800 Haight St",37.76951,-122.451988
"189 Hubbell St",37.76642,-122.397815
"2055 Chestnut St",37.800467,-122.436798
"90 Broadway",37.79892,-122.39945
"1910 Union St",37.797843,-122.430633
"150 Spear St",37.791721,-122.393274
"2144 Market St",37.767008,-122.429754
"1603 Montgomery St",37.803861,-122.405075
"345 Brannan St",37.780942,-122.392604
"1635 Divisadero St",37.784581,-122.439868
"675 Townsend St",37.770388,-122.402847
"599 02nd St",37.781986,-122.391757
"191 Beale St",37.790227,-122.394156
"235 Main St",37.790241,-122.392448
"69 Polk St",37.777129,-122.418203
"750 Golden Gate Ave",37.78087,-122.422774
"970 Howard St",37.780389,-122.406444
"98 Franklin St",37.775171,-122.420504
"40 Pier Fortyeight",37.775266,-122.38686
"10 Edie Rd",37.801334,-122.450645
"1060 Torney Ave",37.800181,-122.452067
"10 P-funston Ave",37.80005,-122.454433
"10 French Ct",37.802095,-122.455226
"1040 Mission St",37.780402,-122.409571
"1040 Sacramento St",37.793037,-122.409914
"1045 California St",37.791489,-122.411332
"148 Townsend St",37.779919,-122.391516
"1550 Bryant St",37.767874,-122.411236
"1650 Jackson St",37.794193,-122.422091
"201 02nd St",37.786833,-122.397828
"222 02nd St",37.78619,-122.397754
"222 Kearny St",37.790096,-122.403453
"350 02nd St",37.784593,-122.395751
"41 Tehama St",37.786975,-122.396277
"486 Jessie St",37.781798,-122.40883
"528 Jackson St",37.796517,-122.403793
"569 Post St",37.787693,-122.410902
"401 Jackson St",37.795894,-122.401792
"655 Sacramento St",37.793443,-122.403404
"680 02nd St",37.78072,-122.390904
"699 Columbus Ave",37.800893,-122.411315
"777 Harrison St",37.780976,-122.398765
"85 02nd St",37.788311,-122.399682
"345 Spear St",37.789602,-122.389889
"415 Taylor St",37.786327,-122.411404
"490 Post St",37.788273,-122.409635
"500 Post St",37.788217,-122.410073
"542 Geary St",37.787008,-122.412052
"655 Beach St",37.806493,-122.419635
"80 Hemlock Alley",37.787487,-122.419457
"875 California St",37.791835,-122.408584
"600 Stockton St",37.791379,-122.406896
"661 Broadway",37.797456,-122.407732
"642 Harrison St",37.783647,-122.396118
"600 Jamestown Ave",37.712639,-122.387363
"15 08th St",37.778656,-122.413863
"1550 Bay St",37.803316,-122.432369
"170 Columbus Ave",37.796956,-122.40484
"2720 Taylor St",37.807507,-122.415219
"555 Selby St",37.743769,-122.395643
"644 Brannan St",37.775859,-122.399771
"40 Pier Forty",37.781444,-122.387314
"1 Zoo Rd",37.730072,-122.502666
"205 13th St",37.769385,-122.417333
"1000 Ocean Avenue",37.72344,-122.452933
"123 Ofarrell Street",37.786027,-122.406906
"1275 20th Avenue",37.764012,-122.4783
"1325 08th Avenue",37.763473,-122.465276
"1340 07th Avenue",37.763299,-122.463668
"1399 Bush Street",37.788469,-122.419911
"1610 Geary Blvd",37.785053,-122.430324
"1660 Mission Street",37.771391,-122.419536
"1680 Fillmore St",37.784865,-122.432591
"174 West Portal Avenue",37.739141,-122.467847
"20 Norton Street",37.724924,-122.434984
"2055 Lombard Street",37.799625,-122.435051
"2450 California Street",37.788955,-122.434528
"25 Felton Street",37.729716,-122.404616
"250 Clay Street",37.795394,-122.398413
"2500 24th St",37.753235,-122.404721
"2500 Ocean Avenue",37.731462,-122.472183
"2501á23rd St",37.754172,-122.40475
"255 03rd Street",37.784476,-122.399289
"3000 19th Avenue",37.732067,-122.474469
"324 08th Avenue",37.782328,-122.466071
"3252 Pierce Street",37.799922,-122.438994
"3255 21st Street",37.756703,-122.420134
"3255 24th Street",37.752041,-122.417317
"330 09th Avenue",37.782074,-122.46711
"333 Post Street",37.787732,-122.407341
"355 Mcallister Street",37.779843,-122.417484
"360 Grove Street",37.778055,-122.422341
"4061 24th Street",37.751105,-122.432972
"4116 18th St",37.761063,-122.435652
"415 07th Street",37.775198,-122.405403
"421 18th Ave",37.77987,-122.477273
"433 Kearny Street",37.791952,-122.404358
"44 Hoff Street",37.764204,-122.420583
"444 Stockton Street",37.789845,-122.406591
"457 Castro St",37.761655,-122.434434
"5732 Geary Blvd",37.780493,-122.480659
"733 Kearny Street",37.794631,-122.404913
"735 Vallejo Street",37.798242,-122.409227
"766 Vallejo Street",37.798624,-122.409512
"807 Ulloa St",37.74039,-122.464976
"833 Mission Street",37.783152,-122.405154
"469 Eddy St",37.783336,-122.415086
"1567 California St",37.790403,-122.41986
"2500 Mason St",37.806632,-122.413359
"1127 Mission St",37.778522,-122.411191
"801 Bryant St",37.775802,-122.402206
"1162 Mission St",37.778491,-122.41222
"925 Powell St",37.793148,-122.409484
"3555 Cesar Chavez St",37.747799,-122.420673
"1 Bush St",37.790868,-122.399192
"100 Pine St",37.792549,-122.398557
"121 Spear St",37.792312,-122.393281
"55 11th St",37.775084,-122.41757
"215 Townsend St",37.777397,-122.393619
"235 Pine St",37.79195,-122.399974
"255 12th St",37.771601,-122.415998
"300 California St",37.79335,-122.399927
"505 Brannan St",37.7779,-122.396453
"521 Mission St",37.788964,-122.397968
"650 Townsend St",37.771024,-122.402778
"1266 09th Ave",37.764681,-122.46591
"144 King St",37.779247,-122.390677
"1 Mission St",37.793409,-122.392392
"2254 Market St",37.765254,-122.432035
"1101 Sutter St",37.787694,-122.418399
"1725 Sacramento St",37.791183,-122.421129
